,Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,Target,Prediction
9477,9538.0,8494.0,8133.0,6830.0,20622.0,11479.0,7296.0,-71.5930394674042,1.059089890740458,coca,cana
9523,12202.0,11408.0,10659.0,9947.0,16414.0,13482.0,9947.0,-72.43859596706433,2.129033728079957,coca,cana
9771,10103.0,9306.0,9217.0,8950.0,16876.0,16643.0,10836.0,-72.4025021316205,2.1959434451663067,coca,cana
9921,21767.0,21464.0,21098.0,21219.0,27058.0,24927.0,20939.0,-75.48255856333813,1.6577659560155162,coca,cana
10050,11321.0,10275.0,9454.0,9012.0,12526.0,15970.0,14060.0,-75.30431517339781,0.7419140091169973,coca,cana
10075,12106.0,11215.0,10760.0,11080.0,10791.0,6945.0,6074.0,-75.46201728921825,0.44172054558054186,coca,cana
10099,11493.0,10495.0,9972.0,9375.0,17828.0,15997.0,13031.0,-75.74581620286126,0.7996685718346888,coca,cana
10126,12222.0,11359.0,11261.0,10351.0,21452.0,16178.0,12851.0,-71.80567791010183,1.603338198216727,coca,cana
10150,12081.0,11339.0,10573.0,9499.0,27892.0,15117.0,9563.0,-72.45256258521033,1.900073647908576,coca,cana
10439,10155.0,9319.0,8912.0,8299.0,15259.0,13772.0,9710.0,-75.94779370658634,1.3836386310387412,coca,cana
10476,10036.0,9042.0,8661.0,7272.0,18950.0,10454.0,6759.0,-72.10784205554411,1.4132284205320442,coca,cana
10676,9778.0,8893.0,8432.0,7760.0,16976.0,14256.0,9109.0,-75.95197101696863,1.378209344728194,coca,cana
10817,11064.0,10215.0,10130.0,9443.0,21625.0,17045.0,10728.0,-72.53319303709327,2.21623229770919,coca,cana
10865,9711.0,8829.0,8820.0,7468.0,20650.0,13338.0,8373.0,-71.50621869708526,1.473892258811278,coca,cana
10880,21944.0,21898.0,22287.0,22678.0,29895.0,27635.0,23578.0,-71.52042986693931,2.198067513967813,coca,cana
10893,28645.0,29215.0,27955.0,28905.0,33588.0,22939.0,15755.0,-71.51692773035786,2.1986011176378315,coca,cana
11015,11678.0,10857.0,10989.0,10588.0,21227.0,18375.0,12781.0,-75.27373278105183,1.012246007654789,coca,cana
11034,12446.0,11827.0,12224.0,12634.0,22145.0,23352.0,18308.0,-75.02215704461727,1.185693907714031,coca,cana
11038,10374.0,9547.0,9164.0,8938.0,17143.0,15500.0,10353.0,-72.10623239643098,1.4080760761632873,coca,cana
11161,11830.0,10948.0,10705.0,10151.0,21736.0,17498.0,12080.0,-75.28331352642667,1.1057476955587233,coca,cana
11317,10800.0,10035.0,9908.0,8999.0,20258.0,13661.0,8908.0,-72.4725860245209,2.1102452138582457,coca,cana
11322,11015.0,10165.0,9262.0,8706.0,14301.0,13652.0,10166.0,-71.82129752476635,2.255110108021667,coca,cana
11458,10106.0,9121.0,8651.0,7333.0,20812.0,11015.0,7059.0,-71.89492915345633,1.5261011953394519,coca,cana
11467,9655.0,8667.0,8201.0,6863.0,18229.0,10533.0,7033.0,-71.89325067547371,1.4751476525757514,coca,cana
11511,10279.0,9546.0,8877.0,8962.0,13397.0,13465.0,8881.0,-72.39767487427483,2.181971570723091,coca,cana
11525,12815.0,11886.0,10999.0,10862.0,12478.0,9403.0,8023.0,-75.57609764665841,0.807973934127344,coca,cana
11894,9676.0,8758.0,8273.0,7310.0,21210.0,11862.0,7324.0,-71.74031666246569,1.4662560699329676,coca,cana
